Assignment_ID;ROI_ring;DB_Status;DB_Status_Date_Active;DB_Status_Date_Inactive
AID_20260105T163627014802Z_DPXFYFS2ANAW;0;Active;05-01-2026 16:37;
AID_20260105T163627042687Z_U42L7T623JG7;0;Active;05-01-2026 16:37;
AID_20260105T163627071852Z_GATISN2BNNGP;0;Active;05-01-2026 16:37;
AID_20260105T163627100009Z_URXNGQJUOBFJ;0;Active;05-01-2026 16:37;
AID_20260105T163627133464Z_C4Z6FWR77FBP;0;Active;05-01-2026 16:37;
AID_20260105T163627163609Z_RAQSQHYDYZCZ;0;Active;05-01-2026 16:37;
AID_20260105T163627193435Z_NMYCTRPBYRAU;1;Active;05-01-2026 16:37;
AID_20260105T163627225169Z_SHQ4XKF3B5EM;1;Active;05-01-2026 16:37;
AID_20260105T163627255325Z_7SZUEFAUVBB7;1;Active;05-01-2026 16:37;
AID_20260105T163627338571Z_IHCKFKZR6JEE;1;Active;05-01-2026 16:37;
AID_20260105T163627378922Z_V6ZOHDTSIVCB;1;Active;05-01-2026 16:37;
AID_20260105T163627410845Z_XJUL4CAK5ZGC;1;Active;05-01-2026 16:37;
AID_20260105T163627441504Z_PEH4E574MVEJ;0;Active;05-01-2026 16:37;
AID_20260105T163627472288Z_3DLPZEUW5ZBA;0;Active;05-01-2026 16:37;
AID_20260105T163627499852Z_SYJZ5DNDPZDK;1;Active;05-01-2026 16:37;
AID_20260105T163627536946Z_XESYYDUQJJDK;1;Active;05-01-2026 16:37;
AID_20260105T163627567584Z_HCTO6JWWCBD3;2;Active;05-01-2026 16:37;
AID_20260105T163627598886Z_BCQ6EX5NCVFM;0;Active;05-01-2026 16:37;
AID_20260105T163627631708Z_PAZZL2263NEM;1;Active;05-01-2026 16:37;
AID_20260105T163627664942Z_DE6COM7YCJHV;1;Active;05-01-2026 16:37;
AID_20260105T163627700384Z_DMCNJPQYSRE3;1;Active;05-01-2026 16:37;
AID_20260105T163627734466Z_U5DJ6GLAFVFI;1;Active;05-01-2026 16:37;
AID_20260105T163627768387Z_IONBVHEJFRCN;3;Active;05-01-2026 16:37;
AID_20260105T163627799037Z_TCAXCB4BZRC6;1;Active;05-01-2026 16:37;
AID_20260105T163627834945Z_CKBSK6W6NRCI;1;Active;05-01-2026 16:37;
AID_20260105T163627886887Z_NIUQL64A3BDR;0;Active;05-01-2026 16:37;
AID_20260105T163627933265Z_ACTFRABYSVAW;1;Active;05-01-2026 16:37;
AID_20260105T163627976008Z_SBWZ2CPSBRDQ;1;Active;05-01-2026 16:37;
AID_20260105T163628023225Z_6KM3N37IAVBJ;1;Active;05-01-2026 16:37;
AID_20260105T163628068613Z_GJ64T7SWUFFH;1;Active;05-01-2026 16:37;
AID_20260105T163628110388Z_M43HPOY6WBGF;1;Active;05-01-2026 16:37;
AID_20260105T163628157114Z_DF3DRFGSAFHS;1;Active;05-01-2026 16:37;
AID_20260105T163628197435Z_CZMM7FH3ZFCF;1;Active;05-01-2026 16:37;
AID_20260105T163628233897Z_N6CG4KKLFFD2;2;Active;05-01-2026 16:37;
AID_20260105T163628272841Z_LYNSECYYZ5EH;1;Active;05-01-2026 16:37;
AID_20260105T163628309963Z_ZC7GJRJGDFFZ;1;Active;05-01-2026 16:37;
AID_20260105T163628350102Z_W57SJ6OJVVCP;1;Active;05-01-2026 16:37;
AID_20260105T163628389214Z_EXZ4MCGJAZC6;1;Active;05-01-2026 16:37;
AID_20260105T163628426168Z_QB4YPI57O5EB;1;Active;05-01-2026 16:37;
AID_20260105T163628467549Z_ERPEPUKH2REP;1;Active;05-01-2026 16:37;
AID_20260105T163628506741Z_77MFRJIVBZEQ;1;Active;05-01-2026 16:37;
AID_20260105T163628544052Z_SEC6VBVBJ5DD;1;Active;05-01-2026 16:37;
AID_20260105T163628583106Z_GROKD4L5WZDE;1;Active;05-01-2026 16:37;
AID_20260105T163628621223Z_U5FWSAQEEVCT;1;Active;05-01-2026 16:37;
AID_20260105T163628667533Z_MUSHRGN7QVCW;1;Active;05-01-2026 16:37;
AID_20260105T163628707598Z_T3REUYHXVRCA;1;Active;05-01-2026 16:37;
AID_20260105T163628743411Z_ST7P6VNEVNCF;1;Active;05-01-2026 16:37;
AID_20260105T163628782517Z_VO2ULACU2RFH;1;Active;05-01-2026 16:37;
AID_20260105T163628821338Z_BDAXWKWBHJH7;1;Active;05-01-2026 16:37;
AID_20260105T163628863707Z_KF26KLPBRNAK;0;Active;05-01-2026 16:37;
AID_20260105T163628906605Z_ZPTV7HRJPNAH;0;Active;05-01-2026 16:37;
AID_20260105T163628945200Z_QHE2MXLM2FGH;1;Active;05-01-2026 16:37;
AID_20260105T163628983858Z_7TKR7LUEOBB3;0;Active;05-01-2026 16:37;
AID_20260105T163629079788Z_CEN7N5N5LFGZ;0;Active;05-01-2026 16:37;
AID_20260105T163629122013Z_QY6WEVWTFJCB;0;Active;05-01-2026 16:37;
AID_20260105T163629159781Z_Z53OG6P4YJFD;0;Active;05-01-2026 16:37;
AID_20260105T163629199540Z_GKG6IUWCFBA3;0;Active;05-01-2026 16:37;
AID_20260105T163629241831Z_35ABO4MFSFCL;1;Active;05-01-2026 16:37;
AID_20260105T163629284539Z_SNVAEDZMI5GH;2;Active;05-01-2026 16:37;
AID_20260105T163629327157Z_YU3DD2G5CJHV;0;Active;05-01-2026 16:37;
AID_20260105T163629370066Z_FAYKGTA52NFV;0;Active;05-01-2026 16:37;
AID_20260105T163629412584Z_FQY4GHVPEJH4;0;Active;05-01-2026 16:37;
AID_20260105T163629454489Z_G6RCM74KMFCZ;0;Active;05-01-2026 16:37;
AID_20260105T163629496252Z_BQENFOWO2RCW;0;Active;05-01-2026 16:37;
AID_20260105T163629538437Z_BSO2XFWUHBDP;1;Active;05-01-2026 16:37;
AID_20260105T163629577811Z_G4WBCUV6RZCG;0;Active;05-01-2026 16:37;
AID_20260105T163629624317Z_PPNNMC4KT5BD;1;Active;05-01-2026 16:37;
AID_20260105T163629667352Z_CIB4MTQBM5BU;0;Active;05-01-2026 16:37;
AID_20260105T163629707886Z_NZ3CPI3LRJFN;0;Active;05-01-2026 16:37;
AID_20260105T163629751629Z_DNOBF2A2G5DL;0;Active;05-01-2026 16:37;
AID_20260105T163629793854Z_ANT3XNUROJBG;0;Active;05-01-2026 16:37;
AID_20260105T163629839408Z_GY3JXYAMAZFC;0;Active;05-01-2026 16:37;
AID_20260105T163629882962Z_MCJ55CFWE5EP;0;Active;05-01-2026 16:37;
AID_20260105T163629924086Z_IK6HOECK3RCP;0;Active;05-01-2026 16:37;
AID_20260105T163629966941Z_GK2RXIWFSJHP;0;Active;05-01-2026 16:37;
AID_20260105T163630015543Z_BPZ42FHJ2VCD;1;Active;05-01-2026 16:37;
AID_20260105T163630057579Z_XJCKDIO3GFHQ;1;Active;05-01-2026 16:37;
AID_20260105T163630104988Z_6KYY2VJ6I5ES;0;Active;05-01-2026 16:37;
AID_20260105T163630150849Z_E2TAFW3N4RC4;1;Active;05-01-2026 16:37;
AID_20260105T163630200133Z_AE2LQBF7OFE2;1;Active;05-01-2026 16:37;
AID_20260105T163630246172Z_UMKK2R7PUFDT;1;Active;05-01-2026 16:37;
AID_20260105T163630291814Z_3XNIAZ53HZAN;1;Active;05-01-2026 16:37;
AID_20260105T163630339517Z_QZJB6TE7F5DB;1;Active;05-01-2026 16:37;
AID_20260105T163630387201Z_V4GKJWPVONDW;1;Active;05-01-2026 16:37;
AID_20260105T163630433988Z_PZPND2RUPZEV;1;Active;05-01-2026 16:37;
AID_20260105T163630481453Z_RDR3RQMLCJGB;1;Active;05-01-2026 16:37;
AID_20260105T163630527385Z_EGBQOFIIXRCI;1;Active;05-01-2026 16:37;
AID_20260105T163630582782Z_XTLEO7CKTJFH;1;Active;05-01-2026 16:37;
AID_20260105T163630636902Z_WX3TIQD5KVFD;1;Active;05-01-2026 16:37;
AID_20260105T163630694135Z_USQ2ORJNE5DK;1;Active;05-01-2026 16:37;
AID_20260105T163630806125Z_NTP63H2P6RHB;1;Active;05-01-2026 16:37;
AID_20260105T163630856630Z_ZOFG32J44JFS;1;Active;05-01-2026 16:37;
