as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_1kmX4192000000Y2978000000Z0;8.2112542276;49.9049048831;8.2044646312;49.9003008166;8.2041285994;49.9092894712;8.2180451146;49.9095085407;8.218378545;49.9005198388;TGB101_5kmX4190000000Y2975000000Z0
TGB101_1kmX4197000000Y2986000000Z0;8.2782531142;49.9778892443;8.2714469096;49.9732892447;8.271122671;49.98227792;8.2850606147;49.9824888334;8.2853822419;49.9735001126;TGB101_5kmX4195000000Y2985000000Z0
TGB101_1kmX4194000000Y2992000000Z0;8.2344563092;50.0311797808;8.227646816;50.0265772287;8.227313806;50.0355656085;8.2412671016;50.0357819226;8.2415974929;50.026793496;TGB101_5kmX4190000000Y2990000000Z0
TGB101_1kmX4191000000Y2984000000Z0;8.1953122276;49.958616291;8.1885166524;49.9540113332;8.1881770652;49.9629997806;8.2021090967;49.9632208395;8.2024460753;49.9542323445;TGB101_5kmX4190000000Y2980000000Z0
TGB101_1kmX4199000000Y2980000000Z0;8.3080301909;49.9243744091;8.3012286389;49.9197761262;8.3009105202;49.9287650502;8.3148330354;49.9289722815;8.3151485498;49.9199833128;TGB101_5kmX4195000000Y2980000000Z0
TGB101_1kmX4192000000Y2990000000Z0;8.2072261286;50.0127671116;8.2004218289;50.0081629195;8.2000838996;50.0171512568;8.2140317261;50.017370894;8.2143670394;50.0083825092;TGB101_5kmX4190000000Y2990000000Z0
TGB101_1kmX4196000000Y2999000000Z0;8.2600715033;50.0945277852;8.2532506363;50.0899268238;8.2529217827;50.0989151167;8.266893674;50.0991283354;8.2672199002;50.0901399963;TGB101_5kmX4195000000Y2995000000Z0
TGB101_1kmX4199000000Y2987000000Z0;8.3058088293;49.9872963875;8.2989986705;49.9826980399;8.2986795051;49.9916867797;8.312620285;49.9918943241;8.3129368375;49.9829055395;TGB101_5kmX4195000000Y2985000000Z0
TGB101_1kmX4170000000Y2985000000Z0;7.9024011859;49.9625858321;7.895633115;49.9579634945;7.8952385831;49.9669508291;7.9091705489;49.9672077643;7.9095624729;49.9582203743;TGB101_5kmX4170000000Y2985000000Z0
TGB101_1kmX4194000000Y2988000000Z0;8.2357818658;49.9952259597;8.2289772924;49.990623449;8.2286449077;49.9996119331;8.242587736;49.9998280603;8.2429175071;49.9908395295;TGB101_5kmX4190000000Y2985000000Z0
TGB101_1kmX4191000000Y2989000000Z0;8.1936188266;50.0035583176;8.1868171214;49.9989533062;8.1864767361;50.0079416219;8.2004218289;50.0081629195;8.2007595994;49.999174556;TGB101_5kmX4190000000Y2985000000Z0
TGB101_1kmX4194000000Y2987000000Z0;8.236112866;49.9862374391;8.2293095211;49.9816349387;8.2289772924;49.990623449;8.2429175071;49.9908395295;8.2432471233;49.9818509726;TGB101_5kmX4190000000Y2985000000Z0
TGB101_1kmX4197000000Y2987000000Z0;8.2779301054;49.9868779293;8.271122671;49.98227792;8.27079828;49.9912665691;8.2847388365;49.991477528;8.2850606147;49.9824888334;TGB101_5kmX4195000000Y2985000000Z0
TGB101_1kmX4190000000Y2988000000Z0;8.1800167129;49.9943478853;8.1732176007;49.9897420551;8.1728747619;49.9987303489;8.1868171214;49.9989533062;8.1871573468;49.9899649642;TGB101_5kmX4190000000Y2985000000Z0
TGB101_1kmX4196000000Y2984000000Z0;8.264967316;49.959700143;8.2581649305;49.9550993326;8.257838387;49.9640880146;8.2717709962;49.9643005432;8.2720949306;49.9553118154;TGB101_5kmX4195000000Y2980000000Z0
TGB101_1kmX4199000000Y2988000000Z0;8.3054908957;49.9962851366;8.2986795051;49.9916867797;8.2983601898;50.0006754934;8.3123035838;50.0008830826;8.312620285;49.9918943241;TGB101_5kmX4195000000Y2985000000Z0
TGB101_1kmX4191000000Y2983000000Z0;8.1956504311;49.9496278065;8.1888560803;49.9450228594;8.1885166524;49.9540113332;8.2024460753;49.9542323445;8.2027828959;49.945243823;TGB101_5kmX4190000000Y2980000000Z0
TGB101_1kmX4194000000Y2999000000Z0;8.2321305785;50.0940979711;8.2253124541;50.089495345;8.2249783459;50.0984835445;8.2389500063;50.0987001864;8.2392814874;50.08971194;TGB101_5kmX4190000000Y2995000000Z0
TGB101_1kmX4193000000Y2989000000Z0;8.2215066323;50.0039974496;8.2147021952;49.9993940983;8.2143670394;50.0083825092;8.2283123667;50.008600391;8.2286449077;49.9996119331;TGB101_5kmX4190000000Y2985000000Z0
