as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_100mX4191200000Y2984400000Z0;8.191846496;49.9581115559;8.1911669205;49.9576510579;8.1911330147;49.9585499037;8.1925260845;49.9585720499;8.1925599642;49.9576732036;TGB101_500mX4191000000Y2984000000Z0
TGB101_100mX4198800000Y2986100000Z0;8.2971794608;49.9750263241;8.2964986413;49.9745664551;8.2964666927;49.9754653317;8.2978602933;49.975486189;8.2978922157;49.974587312;TGB101_500mX4198500000Y2986000000Z0
TGB101_100mX4195000000Y2979400000Z0;8.2464266381;49.9139972564;8.2457471577;49.9135370785;8.2457143204;49.9144359555;8.2471061314;49.9144574303;8.2471389427;49.9135585528;TGB101_500mX4195000000Y2979000000Z0
TGB101_100mX4199500000Y2981100000Z0;8.3085203741;49.9302275784;8.3078400742;49.9297677721;8.3078083828;49.930666665;8.309200687;49.9306873805;8.3092323523;49.9297884871;TGB101_500mX4199500000Y2981000000Z0
TGB101_100mX4195500000Y2979800000Z0;8.2532548533;49.917699932;8.252575256;49.9172397952;8.2525425427;49.9181386734;8.2539344635;49.9181600648;8.2539671508;49.9172611861;TGB101_500mX4195500000Y2979500000Z0
TGB101_100mX4194700000Y2979100000Z0;8.2423499496;49.9112361275;8.2416705467;49.910775925;8.2416376358;49.9116748014;8.2430293654;49.9116963259;8.2430622502;49.910797449;TGB101_500mX4194500000Y2979000000Z0
TGB101_100mX4196500000Y2989400000Z0;8.2640527231;50.0042045455;8.2633718108;50.0037444822;8.2633392112;50.0046433397;8.2647336483;50.0046646047;8.2647662217;50.0037657467;TGB101_500mX4196500000Y2989000000Z0
TGB101_100mX4194400000Y2989100000Z0;8.2348694714;50.0010576751;8.2341888827;50.0005974377;8.2341557386;50.0014962863;8.2355500732;50.0015179085;8.2355831911;50.0006190594;TGB101_500mX4194000000Y2989000000Z0
TGB101_100mX4194600000Y2991500000Z0;8.2368637806;50.0226732037;8.2361828693;50.0222129804;8.2361497402;50.0231118237;8.2375447049;50.0231334229;8.2375778078;50.0222345792;TGB101_500mX4194500000Y2991500000Z0
TGB101_100mX4197300000Y2989000000Z0;8.2753376481;50.0007786691;8.274656676;50.0003186727;8.2746242917;50.0012175349;8.2760186332;50.0012386615;8.2760509913;50.0003397988;TGB101_500mX4197000000Y2989000000Z0
