as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_5kmX4170000000Y2980000000Z0;7.9314259992;49.9361336974;7.8976030009;49.9130264161;7.895633115;49.9579634945;7.9652812594;49.9592308382;7.9671860348;49.914292395;TGB101_10kmX4170000000Y2980000000Z0
TGB101_5kmX4195000000Y2980000000Z0;8.2795436342;49.9419342417;8.2455501104;49.9189303363;8.2439058916;49.96387378;8.3135694967;49.9649278919;8.3151485498;49.9199833128;TGB101_10kmX4190000000Y2980000000Z0
TGB101_5kmX4180000000Y2965000000Z0;8.0760659918;49.8037575282;8.0422655521;49.780692419;8.0404387759;49.8256342252;8.1098984993;49.8268124755;8.111660597;49.7818694054;TGB101_10kmX4180000000Y2960000000Z0
TGB101_5kmX4200000000Y2975000000Z0;8.3507206794;49.8980210104;8.3167239055;49.8750380709;8.3151485498;49.9199833128;8.3847497313;49.9209936801;8.3862600639;49.8760473513;TGB101_10kmX4200000000Y2970000000Z0
TGB101_5kmX4195000000Y2995000000Z0;8.274691657;50.0767633499;8.2406058527;50.0537586981;8.2389500063;50.0987001864;8.3088100283;50.0997577213;8.3104002485;50.0548150892;TGB101_10kmX4190000000Y2990000000Z0
TGB101_5kmX4200000000Y2985000000Z0;8.3476277434;49.9879112713;8.3135694967;49.9649278919;8.3119867338;50.0098718151;8.3817184195;50.0108843641;8.3832358539;49.9659393488;TGB101_10kmX4200000000Y2980000000Z0
TGB101_5kmX4190000000Y2980000000Z0;8.209914047;49.9408593828;8.1759545263;49.9178347534;8.174245152;49.9627770157;8.2439058916;49.96387378;8.2455501104;49.9189303363;TGB101_10kmX4190000000Y2980000000Z0
TGB101_5kmX4190000000Y2985000000Z0;8.2082352812;49.9858019106;8.174245152;49.9627770157;8.172531762;50.0077186164;8.2422578101;50.0088165649;8.2439058916;49.96387378;TGB101_10kmX4190000000Y2980000000Z0
TGB101_5kmX4180000000Y2985000000Z0;8.0688545286;49.9835218544;8.0349327225;49.9604555417;8.0330887483;50.0053946362;8.1028087035;50.0065779725;8.1045873912;49.9616376019;TGB101_10kmX4180000000Y2980000000Z0
TGB101_5kmX4195000000Y2990000000Z0;8.276312784;50.031820963;8.2422578101;50.0088165649;8.2406058527;50.0537586981;8.3104002485;50.0548150892;8.3119867338;50.0098718151;TGB101_10kmX4190000000Y2990000000Z0
