as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_100kmX4100000000Y3000000000Z0;7.587600319;50.5365127143;6.912290358;50.0704806765;6.8528195205;50.9685598158;8.2762013699;50.9984861781;8.3088100283;50.0997577213;
TGB101_100kmX4200000000Y2900000000Z0;9.0167812886;49.6584350048;8.3399188645;49.2007751925;8.3088100283;50.0997577213;9.7064419468;50.1119188925;9.711844144;49.212679167;
TGB101_100kmX4100000000Y2900000000Z0;7.6325784075;49.6379348179;6.9690294668;49.1721166957;6.912290358;50.0704806765;8.3088100283;50.0997577213;8.3399188645;49.2007751925;
TGB101_100kmX4200000000Y3000000000Z0;8.9980872375;50.5574616889;8.3088100283;50.0997577213;8.2762013699;50.9984861781;9.7007791484;51.0109173583;9.7064419468;50.1119188925;
TGB101_100kmX4000000000Y2900000000Z0;6.2498903458;49.6005143654;5.6000267494;49.12673246;5.5177962124;50.0241187585;6.912290358;50.0704806765;6.9690294668;49.1721166957;
TGB101_100kmX4300000000Y2800000000Z0;10.394325421;48.762619394;9.7170026064;48.3131419523;9.711844144;49.212679167;11.0839494145;49.2078166374;11.0645481876;48.3083796083;
TGB101_100kmX4300000000Y2900000000Z0;10.4016144071;49.6619937593;9.711844144;49.212679167;9.7064419468;50.1119188925;11.104267135;50.1069512842;11.0839494145;49.2078166374;
TGB101_100kmX4000000000Y2800000000Z0;6.3178068756;48.7024216185;5.6785611832;48.2289625866;5.6000267494;49.12673246;6.9690294668;49.1721166957;7.0232131871;48.2734144921;
TGB101_100kmX4100000000Y2800000000Z0;7.6755093853;48.7390624512;7.0232131871;48.2734144921;6.9690294668;49.1721166957;8.3399188645;49.2007751925;8.3696248739;48.3014832008;
TGB101_100kmX4200000000Y2800000000Z0;9.0346237315;48.7591349314;8.3696248739;48.3014832008;8.3399188645;49.2007751925;9.711844144;49.212679167;9.7170026064;48.3131419523;
TGB101_100kmX4300000000Y3000000000Z0;10.4092513495;50.5610984;9.7064419468;50.1119188925;9.7007791484;51.0109173583;11.1255647487;51.0058394356;11.104267135;50.1069512842;
TGB101_100kmX4000000000Y3000000000Z0;6.1787409381;50.4982742905;5.5177962124;50.0241187585;5.4316153063;50.9211717059;6.8528195205;50.9685598158;6.912290358;50.0704806765;
