as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_10kmX4300000000Y2970000000Z0;9.7773833575;49.8872913805;9.7080891719;49.8421748657;9.7075426724;49.9320920476;9.846807534;49.9323649552;9.8470937994;49.8424471865;TGB101_50kmX4300000000Y2950000000Z0
TGB101_10kmX4300000000Y2960000000Z0;9.7777987672;49.7973725765;9.7086331189;49.7522551025;9.7080891719;49.8421748657;9.8470937994;49.8424471865;9.8473787278;49.7525268393;TGB101_50kmX4300000000Y2950000000Z0
TGB101_10kmX4230000000Y2980000000Z0;8.8012854338;49.9711121912;8.7327928143;49.9254062893;8.7304142904;50.0153065031;8.8699079845;50.016776366;8.8720252837;49.9268729842;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4300000000Y2870000000Z0;9.7814517627;48.9879792417;9.7134165469;48.9428517973;9.7128948221;49.0327973224;9.8496110775;49.033064487;9.8498843653;48.9431184025;TGB101_50kmX4300000000Y2850000000Z0
TGB101_10kmX4260000000Y2990000000Z0;9.2179380068;50.0646573131;9.1489166618;50.0192034464;9.1473144511;50.1091095617;9.2870902031;50.110068827;9.288429819;50.0201606383;TGB101_50kmX4250000000Y2950000000Z0
TGB101_10kmX4080000000Y3070000000Z0;6.6556326537;50.7381008185;6.5881460803;50.691134185;6.581586619;50.7809178572;6.7232527148;50.7850279499;6.7295412824;50.6952352206;TGB101_50kmX4050000000Y3050000000Z0
TGB101_10kmX4140000000Y2930000000Z0;7.5701590539;49.5016593414;7.5034826111;49.4552171845;7.4988655043;49.5450869492;7.6369613748;49.5480617322;7.6413240172;49.4581856474;TGB101_50kmX4100000000Y2900000000Z0
TGB101_10kmX4230000000Y3000000000Z0;8.7967684009;50.1509108304;8.7280245627;50.1052041777;8.7256235554;50.195099369;8.8656433967;50.1965756144;8.8677807114;50.1066772241;TGB101_50kmX4200000000Y3000000000Z0
TGB101_10kmX4190000000Y2950000000Z0;8.2537137153;49.694202996;8.1861271954;49.6481669005;8.1827521362;49.7380589506;8.321427912;49.7401982988;8.3245456556;49.6503016763;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4090000000Y3060000000Z0;6.8033128322;50.6523212106;6.7357999296;50.6054399727;6.7295412824;50.6952352206;6.8709587546;50.6991628162;6.8769476298;50.609358935;TGB101_50kmX4050000000Y3050000000Z0
TGB101_10kmX4210000000Y2890000000Z0;8.5469923642;49.158669578;8.4798607396;49.1128014236;8.4770788738;49.2027198733;8.6142483915;49.2044969754;8.6167798534;49.1145747869;TGB101_50kmX4200000000Y2850000000Z0
TGB101_10kmX4180000000Y2900000000Z0;8.1324888612;49.2424966098;8.065630789;49.196383175;8.0620818034;49.2862851573;8.1994715735;49.2885697527;8.2027692182;49.1986629527;TGB101_50kmX4150000000Y2900000000Z0
TGB101_10kmX4160000000Y2950000000Z0;7.8381271788;49.687029104;7.7709450793;49.6407467344;7.7667985967;49.7306228953;7.9054365883;49.733271224;7.9093260233;49.6433894049;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4180000000Y3030000000Z0;8.0866105901;50.4110125413;8.0181796252;50.3648841835;8.0144080951;50.4547503758;8.1551739878;50.4570997571;8.1586784389;50.367228435;TGB101_50kmX4150000000Y3000000000Z0
TGB101_10kmX4140000000Y3040000000Z0;7.5194775709;50.4900900504;7.4514873432;50.4436269324;7.4466255185;50.5334663581;7.587600319;50.5365127143;7.5921942249;50.4466666226;TGB101_50kmX4100000000Y3000000000Z0
TGB101_10kmX4100000000Y2930000000Z0;7.0184176812;49.4884238955;6.952283766;49.4416589697;6.9466499881;49.5314998798;7.0846769251;49.5351497698;7.0900567254;49.4453011104;TGB101_50kmX4100000000Y2900000000Z0
TGB101_10kmX4140000000Y2980000000Z0;7.5474461355;49.9509872949;7.4801805571;49.9045362561;7.4754544609;49.9943914164;7.6148405507;49.99739826;7.61930619;49.9075366255;TGB101_50kmX4100000000Y2950000000Z0
TGB101_10kmX4230000000Y2930000000Z0;8.8123945623;49.5215698329;8.7445199887;49.4758651827;8.7421963679;49.5657789282;8.8803960723;49.5672331029;8.8824644949;49.4773162648;TGB101_50kmX4200000000Y2900000000Z0
TGB101_10kmX4160000000Y3030000000Z0;7.8053730178;50.4059740582;7.7372226646;50.3596789763;7.7329172715;50.4495337803;7.8736555422;50.4522283744;7.8776940552;50.3623676883;TGB101_50kmX4150000000Y3000000000Z0
TGB101_10kmX4200000000Y3000000000Z0;8.3771446546;50.1457155598;8.3088100283;50.0997577213;8.3056183321;50.1896410868;8.4456100981;50.1916320867;8.4485383028;50.1017444079;TGB101_50kmX4200000000Y3000000000Z0
TGB101_10kmX4250000000Y3070000000Z0;9.0641626812;50.7827785876;8.9942410829;50.7372391428;8.9923041865;50.8271247481;9.1342200832;50.8282752706;9.1358842724;50.7383871242;TGB101_50kmX4250000000Y3050000000Z0
TGB101_10kmX4270000000Y2990000000Z0;9.3575847606;50.0655299927;9.288429819;50.0201606383;9.2870902031;50.110068827;9.4268706499;50.1108568092;9.4279476375;50.0209469171;TGB101_50kmX4250000000Y2950000000Z0
TGB101_10kmX4300000000Y2980000000Z0;9.7769659964;49.9772076329;9.7075426724;49.9320920476;9.7069936031;50.0220067045;9.8465199225;50.0222802017;9.846807534;49.9323649552;TGB101_50kmX4300000000Y2950000000Z0
TGB101_10kmX4090000000Y2930000000Z0;6.8805274445;49.4846936255;6.8145300848;49.437848498;6.8086424663;49.5276813023;6.9466499881;49.5314998798;6.952283766;49.4416589697;TGB101_50kmX4050000000Y2900000000Z0
TGB101_10kmX4290000000Y2920000000Z0;9.6415934611;49.4373167207;9.5730640201;49.3921112933;9.5722758894;49.4820410131;9.7102498149;49.4824797627;9.7107837212;49.392549112;TGB101_50kmX4250000000Y2900000000Z0
TGB101_10kmX4130000000Y3020000000Z0;7.3885895913;50.3072837594;7.3209841566;50.2607423599;7.3159029146;50.3505798389;7.4563261606;50.3537850199;7.4611421269;50.2639405662;TGB101_50kmX4100000000Y3000000000Z0
TGB101_10kmX4170000000Y2910000000Z0;7.9915477349;49.3300284636;7.9247041895;49.2838326936;7.9208863457;49.3737263965;8.0585163771;49.3761840561;8.0620818034;49.2862851573;TGB101_50kmX4150000000Y2900000000Z0
TGB101_10kmX4250000000Y3050000000Z0;9.0677466252;50.6030006136;8.9980872375;50.5574616889;8.9961687454;50.647351475;9.1375405275;50.6484969277;9.1391889029;50.5586046253;TGB101_50kmX4250000000Y3050000000Z0
TGB101_10kmX4150000000Y2870000000Z0;7.7331979716;48.9652157927;7.6670805138;48.918863101;7.6628370319;49.0087583267;7.7994380079;49.0115289025;7.8034338586;48.9216278827;TGB101_50kmX4150000000Y2850000000Z0
TGB101_10kmX4160000000Y2990000000Z0;7.8219040805;50.0465228241;7.7542422338;50.0002344308;7.7500173688;50.0900994759;7.8896956351;50.0927707126;7.8936586025;50.0028998989;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4190000000Y2910000000Z0;8.2665792714;49.3346024836;8.1994715735;49.2885697527;8.1961586509;49.3784734923;8.3338123013;49.3805946818;8.3368726401;49.2906864567;TGB101_50kmX4150000000Y2900000000Z0
TGB101_10kmX4090000000Y3090000000Z0;6.7848093068;50.9217089221;6.7169340204;50.8748182133;6.710584991;50.9646060638;6.8528195205;50.9685598158;6.8588948984;50.8787632035;TGB101_50kmX4050000000Y3050000000Z0
TGB101_10kmX4180000000Y3090000000Z0;8.0644678363;50.9501844505;7.9952788366;50.90404692;7.9913977856;50.9938997302;8.1337931025;50.9962804258;8.1373993302;50.9064223319;TGB101_50kmX4150000000Y3050000000Z0
TGB101_10kmX4260000000Y3090000000Z0;9.2028748271;50.9636153687;9.132547905;50.9181614232;9.1308676823;51.0080456378;9.2733389659;51.0090262055;9.274743811;50.9191398131;TGB101_50kmX4250000000Y3050000000Z0
