as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_50mX4198750000Y2989850000Z0;8.2949429026;50.0084936447;8.294602267;50.0082637059;8.2945862582;50.0087131392;8.2952835416;50.0087235826;8.2952995438;50.0082741491;TGB101_100mX4198700000Y2989800000Z0
TGB101_50mX4196400000Y2989250000Z0;8.2623667752;50.0026049508;8.2620263368;50.0023749145;8.2620100252;50.0028243433;8.2627072169;50.002834986;8.2627235219;50.0023855571;TGB101_100mX4196400000Y2989200000Z0
TGB101_50mX4196400000Y2988400000Z0;8.2626439602;49.9949646514;8.262303574;49.9947346156;8.262287269;49.9951840455;8.2629843496;49.9951946862;8.263000648;49.9947452562;TGB101_100mX4196400000Y2988400000Z0
TGB101_50mX4190400000Y2987350000Z0;8.1793554769;49.9842192903;8.1790155646;49.983989006;8.178998484;49.9844384231;8.1796953925;49.9844495735;8.1797124666;49.9840001563;TGB101_100mX4190400000Y2987300000Z0
TGB101_50mX4197450000Y2988850000Z0;8.2771371496;49.999232053;8.2767966642;49.9990020605;8.276780493;49.9994514922;8.2774776383;49.9994620444;8.2774938029;49.9990126126;TGB101_100mX4197400000Y2988800000Z0
TGB101_50mX4196700000Y2984050000Z0;8.2682398257;49.9559277072;8.2678996865;49.955697686;8.2678834539;49.9561471222;8.2685799682;49.9561577274;8.2685961943;49.955708291;TGB101_100mX4196700000Y2984000000Z0
TGB101_50mX4191200000Y2986300000Z0;8.1908623416;49.9749593339;8.190522439;49.9747290833;8.1905054712;49.9751785038;8.1912022474;49.9751895834;8.1912192086;49.9747401628;TGB101_100mX4191200000Y2986300000Z0
TGB101_50mX4196800000Y2989600000Z0;8.2678304904;50.0058359618;8.2674900031;50.005605942;8.2674737412;50.0060553712;8.2681709809;50.0060659806;8.2681872363;50.0056165512;TGB101_100mX4196800000Y2989600000Z0
TGB101_50mX4197900000Y2988050000Z0;8.2836691367;49.9921359161;8.2833286698;49.9919059428;8.2833125635;49.9923553765;8.2840096068;49.9923658884;8.2840257066;49.9919164546;TGB101_100mX4197900000Y2988000000Z0
TGB101_50mX4196200000Y2990250000Z0;8.2592512592;50.0115509002;8.2589107728;50.0113208551;8.2588944275;50.0117702821;8.2595917488;50.0117809442;8.2596080876;50.0113315171;TGB101_100mX4196200000Y2990200000Z0
TGB101_50mX4209850000Y2987750000Z0;8.4503566949;49.9918295776;8.4500154338;49.9916001016;8.4500008914;49.9920495616;8.4506979592;49.9920590527;8.4507124952;49.9916095926;TGB101_100mX4209800000Y2987700000Z0
TGB101_50mX4195950000Y2984750000Z0;8.2575635736;49.9620602287;8.2572234424;49.961830176;8.2572071066;49.9622796096;8.257903708;49.9622902803;8.2579200373;49.9618408466;TGB101_100mX4195900000Y2984700000Z0
TGB101_50mX4199250000Y2987000000Z0;8.302823696;49.9829799916;8.3024832019;49.9827500748;8.3024672798;49.983199513;8.3031641934;49.9832099073;8.303180109;49.982760469;TGB101_100mX4199200000Y2987000000Z0
TGB101_50mX4194550000Y2979150000Z0;8.2399062115;49.9114231529;8.2395665188;49.9111930449;8.2395500437;49.9116424827;8.2402459075;49.9116532598;8.2402623761;49.9112038219;TGB101_100mX4194500000Y2979100000Z0
TGB101_50mX4193850000Y2987850000Z0;8.2272763517;49.9894727572;8.2269361732;49.9892426158;8.2269195393;49.9896920405;8.2276165333;49.9897028976;8.2276331608;49.9892534728;TGB101_100mX4193800000Y2987800000Z0
TGB101_50mX4196200000Y2997200000Z0;8.2569759963;50.0740206354;8.2566350814;50.0737905868;8.2566186826;50.0742400048;8.2573169144;50.074250683;8.2573333067;50.0738012648;TGB101_100mX4196200000Y2997200000Z0
TGB101_50mX4193500000Y2991450000Z0;8.2211957055;50.021755005;8.2208553297;50.0215248472;8.2208386218;50.0219742664;8.2215360845;50.0219851618;8.2215527859;50.0215357426;TGB101_100mX4193500000Y2991400000Z0
TGB101_50mX4198700000Y2986500000Z0;8.2953175863;49.9783710236;8.2949771603;49.9781410843;8.2949611702;49.9785905218;8.2956580155;49.978600962;8.2956739991;49.9781515243;TGB101_100mX4198700000Y2986500000Z0
TGB101_50mX4202500000Y2990650000Z0;8.3469913987;50.0164559447;8.3466504581;50.0162261614;8.3466349339;50.0166756021;8.3473323426;50.016685727;8.3473478601;50.0162362862;TGB101_100mX4202500000Y2990600000Z0
TGB101_50mX4193150000Y2988700000Z0;8.2172341759;49.9969605228;8.216893993;49.9967303518;8.2168772609;49.9971797738;8.217574362;49.9971906927;8.2175910876;49.9967412706;TGB101_100mX4193100000Y2988700000Z0
TGB101_50mX4197400000Y2988850000Z0;8.2764400077;49.9992214988;8.2760995257;49.9989915043;8.2760833479;49.9994409358;8.276780493;49.9994514922;8.2767966642;49.9990020605;TGB101_100mX4197400000Y2988800000Z0
TGB101_50mX4198650000Y2986900000Z0;8.2944927852;49.9819560796;8.294152338;49.981726138;8.2941363383;49.9821755749;8.2948332356;49.9821860202;8.2948492287;49.9817365831;TGB101_100mX4198600000Y2986900000Z0
TGB101_50mX4195650000Y2990050000Z0;8.2516464311;50.009635656;8.2513059946;50.0094055882;8.2512895788;50.0098550141;8.2519868708;50.0098657227;8.2520032801;50.0094162966;TGB101_100mX4195600000Y2990000000Z0
TGB101_50mX4196700000Y2988750000Z0;8.2667125819;49.9981744314;8.2663721537;49.9979444079;8.2663558853;49.998393838;8.2670530133;49.9984044539;8.2670692752;49.9979550237;TGB101_100mX4196700000Y2988700000Z0
