as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_10mX4196450000Y2989920000Z0;8.2625730997;50.0084539056;8.2625050033;50.0084078986;8.2625017413;50.0084977842;8.2626411962;50.0084999125;8.2626444579;50.0084100269;TGB101_50mX4196450000Y2989900000Z0
TGB101_10mX4194220000Y2999220000Z0;8.2283804488;50.0915665776;8.2283122683;50.0915205511;8.2283089334;50.0916104333;8.2284486295;50.091612604;8.2284519641;50.0915227218;TGB101_50mX4194200000Y2999200000Z0
TGB101_10mX4199950000Y2984580000Z0;8.313073763;49.961188221;8.3130056847;49.9611422436;8.3130025222;49.9612321322;8.3131418414;49.9612341983;8.3131450037;49.9611443097;TGB101_50mX4199950000Y2984550000Z0
TGB101_10mX4196340000Y2988990000Z0;8.2613426529;50.0000711157;8.2612745695;50.0000251079;8.2612713061;50.0001149937;8.2614107365;50.0001171234;8.2614139996;50.0000272376;TGB101_50mX4196300000Y2988950000Z0
TGB101_10mX4197620000Y2984890000Z0;8.2805127832;49.963488689;8.2804447328;49.9634426922;8.280441509;49.9635325797;8.2805808338;49.9635346857;8.2805840573;49.9634447982;TGB101_50mX4197600000Y2984850000Z0
TGB101_10mX4191240000Y2984350000Z0;8.1918090418;49.9572565447;8.1917410849;49.9572104951;8.1917376955;49.9573003797;8.1918769988;49.9573025944;8.1918803879;49.9572127097;TGB101_50mX4191200000Y2984350000Z0
TGB101_10mX4197540000Y2988210000Z0;8.2783264116;49.9933143149;8.2782583214;49.9932683171;8.2782550905;49.9933582037;8.2783945019;49.9933603126;8.2783977325;49.9932704261;TGB101_50mX4197500000Y2988200000Z0
TGB101_10mX4196750000Y2988880000Z0;8.267095081;49.9991695465;8.2670269934;49.9991235421;8.2670237408;49.9992134281;8.2671631688;49.9992155509;8.2671664211;49.9991256648;TGB101_50mX4196750000Y2988850000Z0
TGB101_10mX4190190000Y2987300000Z0;8.176173666;49.9835387701;8.1761056873;49.9834927115;8.1761022658;49.9835825948;8.1762416449;49.9835848288;8.1762450661;49.9834949454;TGB101_50mX4190150000Y2987300000Z0
TGB101_10mX4196830000Y2988840000Z0;8.2682235054;49.9988269785;8.2681554172;49.9987809748;8.2681521668;49.9988708609;8.2682915938;49.9988729822;8.268294844;49.9987830961;TGB101_50mX4196800000Y2988800000Z0
TGB101_10mX4196440000Y2989070000Z0;8.2627108701;50.0008114915;8.2626427843;50.0007654845;8.2626395234;50.0008553703;8.262778956;50.0008574984;8.2627822167;50.0007676126;TGB101_50mX4196400000Y2989050000Z0
TGB101_10mX4196500000Y2989950000Z0;8.2632605916;50.0087342019;8.2631924942;50.0086881953;8.2631892335;50.008778081;8.2633286892;50.0087802084;8.2633319496;50.0086903228;TGB101_50mX4196500000Y2989950000Z0
TGB101_10mX4181320000Y2986530000Z0;8.0528305692;49.9745694186;8.0527627211;49.9745232865;8.0527590693;49.9746131656;8.0528984174;49.9746155506;8.0529020689;49.9745256714;TGB101_50mX4181300000Y2986500000Z0
TGB101_10mX4197220000Y2987380000Z0;8.2741340523;49.9857861613;8.2740659767;49.985740161;8.2740627387;49.9858300476;8.274202128;49.9858321616;8.2742053657;49.985742275;TGB101_50mX4197200000Y2987350000Z0
TGB101_10mX4189610000Y2987940000Z0;8.1678697371;49.989161424;8.1678017584;49.9891153605;8.1677983208;49.9892052434;8.1679377159;49.9892074876;8.1679411533;49.9891176047;TGB101_50mX4189600000Y2987900000Z0
TGB101_10mX4196690000Y2989050000Z0;8.266203194;50.0006848686;8.266135105;50.0006388637;8.2661318507;50.0007287496;8.266271283;50.0007308735;8.2662745372;50.0006409875;TGB101_50mX4196650000Y2989050000Z0
TGB101_10mX4195100000Y2997980000Z0;8.2410842564;50.080611482;8.2410160791;50.080565463;8.2410127693;50.0806553459;8.2411524338;50.080657501;8.2411557434;50.0805676181;TGB101_50mX4195100000Y2997950000Z0
TGB101_10mX4197250000Y2988670000Z0;8.2741345111;49.997387857;8.2740664192;49.9973418568;8.27406318;49.9974317431;8.2742026031;49.9974338572;8.274205842;49.9973439709;TGB101_50mX4197250000Y2988650000Z0
TGB101_10mX4196740000Y2989160000Z0;8.2668645719;50.001684231;8.266796481;50.0016382265;8.2667932277;50.0017281125;8.266932663;50.0017302355;8.266935916;50.0016403496;TGB101_50mX4196700000Y2989150000Z0
TGB101_10mX4197240000Y2988670000Z0;8.2739950881;49.9973857429;8.2739269964;49.9973397426;8.273923757;49.9974296289;8.27406318;49.9974317431;8.2740664192;49.9973418568;TGB101_50mX4197200000Y2988650000Z0
TGB101_10mX4194010000Y2992030000Z0;8.227844424;50.0268950791;8.227776335;50.0268490516;8.2277730059;50.0269389355;8.2279125131;50.0269411065;8.227915842;50.0268512226;TGB101_50mX4194000000Y2992000000Z0
TGB101_10mX4191960000Y2989150000Z0;8.2002192525;50.0005600389;8.2001512269;50.0005139947;8.2001478487;50.0006038784;8.2002872782;50.000606083;8.2002906561;50.0005161993;TGB101_50mX4191950000Y2989150000Z0
TGB101_10mX4193870000Y2987850000Z0;8.2272830039;49.9892929873;8.2272149682;49.9892469591;8.227211642;49.9893368441;8.2273510397;49.9893390155;8.2273543657;49.9892491305;TGB101_50mX4193850000Y2987850000Z0
TGB101_10mX4196530000Y2989180000Z0;8.2639299187;50.0018193818;8.2638618304;50.0017733756;8.2638585716;50.0018632614;8.2639980072;50.001865388;8.2640012657;50.0017755022;TGB101_50mX4196500000Y2989150000Z0
TGB101_10mX4191120000Y2983720000Z0;8.1903510927;49.9515672236;8.1902831452;49.951521173;8.1902797537;49.9516110578;8.1904190404;49.9516132742;8.1904224317;49.9515233894;TGB101_50mX4191100000Y2983700000Z0
TGB101_10mX4198730000Y2986540000Z0;8.2954505604;49.9785528866;8.2953824746;49.9785068989;8.2953792773;49.9785967864;8.2955186464;49.9785988743;8.2955218434;49.9785089867;TGB101_50mX4198700000Y2986500000Z0
TGB101_10mX4199450000Y2984110000Z0;8.3062570489;49.956859944;8.3061889832;49.9568139625;8.3061858083;49.956903851;8.3063251148;49.9569059255;8.3063282893;49.956816037;TGB101_50mX4199450000Y2984100000Z0
TGB101_10mX4196550000Y2988770000Z0;8.2643423594;49.9981383128;8.2642742759;49.9980923067;8.2642710182;49.9981821927;8.2644104431;49.9981843188;8.2644137005;49.9980944328;TGB101_50mX4196550000Y2988750000Z0
TGB101_10mX4186360000Y2980060000Z0;8.1253375824;49.9175957615;8.1252697444;49.9175496719;8.1252662348;49.9176395553;8.1254054205;49.9176418511;8.1254089298;49.9175519677;TGB101_50mX4186350000Y2980050000Z0
TGB101_10mX4185670000Y2988790000Z0;8.1126480573;49.9959038426;8.1125801221;49.9958577463;8.1125765801;49.995947627;8.1127159926;49.9959499389;8.1127195343;49.9958600582;TGB101_50mX4185650000Y2988750000Z0
TGB101_10mX4197530000Y2988360000Z0;8.2781385334;49.9946605038;8.2780704415;49.994614506;8.2780672102;49.9947043925;8.2782066254;49.9947065016;8.2782098566;49.9946166151;TGB101_50mX4197500000Y2988350000Z0
