SOB_ID;DB_Status;SOB_as_code;SOB_ring;DB_Status_Date_Active;DB_Status_Date_Inactive
SOB_20260105T163218721666Z_NOVERUIJM5EB;Active;TGB101_10mX4195990000Y2985210000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218721818Z_6JCJSVZSUVCG;Active;TGB101_10mX4190130000Y2988430000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218721977Z_6V3ZPBZG5BFI;Active;TGB101_10mX4196290000Y2999770000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218722126Z_N6NK3NJOMJBW;Active;TGB101_10mX4170450000Y2985730000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218722274Z_OOQI4543E5G6;Active;TGB101_10mX4198390000Y2986710000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218722427Z_UFM545447JGZ;Active;TGB101_10mX4196830000Y2988840000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218722576Z_Y3K7C7SSUJBW;Active;TGB101_10mX4196390000Y2984710000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218722734Z_JN5FFMXL4NF5;Active;TGB101_10mX4197620000Y2984890000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218722890Z_Z2QJU6C4LVGU;Active;TGB101_10mX4148050000Y3029940000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218723043Z_XTBXAOKR4JA5;Active;TGB101_10mX4201910000Y2979690000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218723196Z_HY345ACIIZBC;Active;TGB101_10mX4199950000Y2984580000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218723353Z_RHJXNFPISNAA;Active;TGB101_10mX4196780000Y2987130000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218723511Z_I5O7JP5RGVDW;Active;TGB101_10mX4194160000Y2988650000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218723676Z_2PWPS6H6E5HS;Active;TGB101_10mX4195720000Y2987560000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218723838Z_CWTXZNLP45DX;Active;TGB101_10mX4193950000Y2985360000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218723988Z_QFI3ZPTGWJF2;Active;TGB101_10mX4192940000Y2990030000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218724137Z_4WJNSUDSRZDQ;Active;TGB101_10mX4196910000Y2978420000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218724298Z_DC5IBIKNF5C7;Active;TGB101_10mX4196380000Y2989470000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218724452Z_ZMPYP74GJJE2;Active;TGB101_10mX4196450000Y2989920000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218724605Z_3V2J6RGZYRCB;Active;TGB101_10mX4199510000Y2981140000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218724768Z_U5PWFSOWSRG4;Active;TGB101_10mX4196840000Y2985260000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218724923Z_E2NRLOQQCVBK;Active;TGB101_10mX4194860000Y2987410000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218725086Z_FOPBE2ZQJVHB;Active;TGB101_10mX4194960000Y2991190000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218725234Z_NLGGM5GLSRCT;Active;TGB101_10mX4194920000Y2989960000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218725386Z_ZPLGV7ESHJAS;Active;TGB101_10mX4196870000Y2988890000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218725539Z_65AV4R55HJAE;Active;TGB101_10mX4196510000Y2989000000Z0;0;2026-01-05 16:32:23;
